sample_ID,ASV Table,Site,Group-Analyses,WaterType,Region,Region2,Habitat,Location,Description,Partner,year_month_day,year,month,day,lat,long,Event_ID,Treatment,Field_Blank,Extraction_Blank,PCR_Blank,Date.of.extraction,PCR_Plate,MiSeq.Run
ICOE0501,ICOE0501,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2020_5_4,2020,5,4,51.65,-127.9518,CalvertKC10_2020_5_4,Sample,ICOE0498,ICOXN042,NEG_PLATE5,2021-02-04,5,12S_ICO_plates5_6_7_ReRun20210612
ICOE0571,ICOE0571,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2020_6_7,2020,6,7,51.65,-127.9518,CalvertKC10_2020_6_7,Sample,ICOE0570,ICOXN048,NEG_PLATE5,2021-03-10,5,12S_ICO_plates5_6_7_ReRun20210612
ICOE0572,ICOE0572,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2020_6_7,2020,6,7,51.65,-127.9518,CalvertKC10_2020_6_7,Sample,ICOE0570,ICOXN048,NEG_PLATE5,2021-03-10,5,12S_ICO_plates5_6_7_ReRun20210612
ICOE0573,ICOE0573,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2020_6_7,2020,6,7,51.65,-127.9518,CalvertKC10_2020_6_7,Sample,ICOE0570,ICOXN048,NEG_PLATE5,2021-03-10,5,12S_ICO_plates5_6_7_ReRun20210612
ICOE0651,ICOE0651,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2020_7_4,2020,7,4,51.65,-127.9518,CalvertKC10_2020_7_4,Sample,ICOE0654,ICOXN047,NEG_PLATE6,2021-03-04,6,12S_ICO_plates5_6_7_ReRun20210612
ICOE0652,ICOE0652,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2020_7_4,2020,7,4,51.65,-127.9518,CalvertKC10_2020_7_4,Sample,ICOE0654,ICOXN047,NEG_PLATE6,2021-03-04,6,12S_ICO_plates5_6_7_ReRun20210612
ICOE0653,ICOE0653,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2020_7_4,2020,7,4,51.65,-127.9518,CalvertKC10_2020_7_4,Sample,ICOE0654,ICOXN047,NEG_PLATE6,2021-03-04,6,12S_ICO_plates5_6_7_ReRun20210612
ICOE0705,ICOE0705,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2020_8_9,2020,8,9,51.65,-127.9518,CalvertKC10_2020_8_9,Sample,ICOE0704,ICOXN049,NEG_PLATE6,2021-03-11,6,12S_ICO_plates5_6_7_ReRun20210612
ICOE0706,ICOE0706,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2020_8_9,2020,8,9,51.65,-127.9518,CalvertKC10_2020_8_9,Sample,ICOE0704,ICOXN049,NEG_PLATE6,2021-03-11,6,12S_ICO_plates5_6_7_ReRun20210612
ICOE0707,ICOE0707,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2020_8_9,2020,8,9,51.65,-127.9518,CalvertKC10_2020_8_9,Sample,ICOE0704,ICOXN049,NEG_PLATE6,2021-03-11,6,12S_ICO_plates5_6_7_ReRun20210612
